Día,Fecha,Hora,Local,Marcador,Visitante,Resultado,Sedes,Árbitro,Goles Local,Goles Visitante,Resultado Codificado
Dom,2025-03-30,13:00:00,Cdc Santa Rosa,3–1,Alianza Univ,Ganó Local,Estadio Los Chankas,Michael Espinoza,0.5,0.25,1
Dom,2025-03-30,15:30:00,Juan Pablo Ii,4–2,Utc,Ganó Local,Estadio de la Juventud,Joel Alarcón,0.6666666666666666,0.5,1
Vie,2025-04-04,17:30:00,Binacional,1–1,Ayacucho,Empate,Estadio Guillermo Briceño Rosamedina,Sebastián Lozano,0.1666666666666667,0.25,0
Sáb,2025-04-05,10:15:00,Atlético Grau,1–1,Cienciano,Empate,Estadio Campeones del 36,Jonathan Zamora,0.1666666666666667,0.25,0
Sáb,2025-04-05,15:15:00,Melgar,4–0,Adt Tarma,Ganó Local,Estadio de la Universidad Nacional San A...,Kevin Menéndez Lagos,0.6666666666666666,0.0,1
Vie,2025-04-04,20:00:00,Sport Huancayo,0–3,Deportivo Garcilaso,Ganó Visita,Estadio Huancayo,Jesús Cartagena,0.0,0.75,2
Dom,2025-04-06,13:15:00,Cusco,4–2,Juan Pablo Ii,Ganó Local,Estadio Inca Garcilaso de la Vega,Roberto Pérez,0.6666666666666666,0.5,1
Dom,2025-04-06,14:00:00,Sport Boys,1–1,Cdc Santa Rosa,Empate,Estadio Miguel Grau del Callao,Kevin Ortega,0.1666666666666667,0.25,0
Dom,2025-04-06,15:30:00,Utc,4–1,Sporting Cristal,Ganó Local,Estadio Municipal Germán Contreras Jara,Edwin Ordóñez,0.6666666666666666,0.25,1
Dom,2025-04-06,18:00:00,Alianza Univ,0–2,Comerciantes Unidos,Ganó Visita,Estadio Heraclio Tapia León,Julio Quiróz,0.0,0.5,2
Sáb,2025-04-05,19:00:00,Alianza Lima,1–1,Universitario,Empate,Estadio Alejandro Villanueva,Daniel Ureta,0.1666666666666667,0.25,0
Vie,2025-04-11,13:15:00,Ayacucho,0–1,Utc,Ganó Visita,Estadio Manuel Eloy Molina Robles,Christian Zegarra,0.0,0.25,2
Vie,2025-04-11,15:30:00,Cdc Santa Rosa,1–3,Sport Huancayo,Ganó Visita,Estadio Los Chankas,Julio Quiróz,0.1666666666666667,0.75,2
Sáb,2025-04-12,15:30:00,Juan Pablo Ii,1–0,Alianza Atlético,Ganó Local,Estadio de la Juventud,Pablo López,0.1666666666666667,0.0,1
Dom,2025-04-13,11:00:00,Sporting Cristal,1–0,Cusco,Ganó Local,Estadio Alberto Gallardo,Diego Haro,0.1666666666666667,0.0,1
Dom,2025-04-13,13:15:00,Comerciantes Unidos,0–4,Sport Boys,Ganó Visita,Estadio Municipal Germán Contreras Jara,Daniel Ureta,0.0,1.0,2
Dom,2025-04-13,15:30:00,Adt Tarma,1–1,Binacional,Empate,Estadio Municipal Unión de Tarma,Michael Espinoza,0.1666666666666667,0.25,0
Sáb,2025-04-12,19:00:00,Cienciano,0–1,Alianza Univ,Ganó Visita,Estadio Inca Garcilaso de la Vega,Italo Carmona,0.0,0.25,2
Dom,2025-04-13,19:00:00,Universitario,4–1,Melgar,Ganó Local,Estadio Monumental U Marathon,Kevin Ortega,0.6666666666666666,0.25,1
Lun,2025-04-14,19:30:00,Deportivo Garcilaso,0–1,Alianza Lima,Ganó Visita,Estadio Inca Garcilaso de la Vega,Joel Alarcón,0.0,0.25,2
Vie,2025-04-18,15:00:00,Melgar,1–2,Deportivo Garcilaso,Ganó Visita,Estadio de la Universidad Nacional San A...,Daniel Ureta,0.1666666666666667,0.5,2
Vie,2025-04-18,17:00:00,Binacional,1–3,Universitario,Ganó Visita,Estadio Guillermo Briceño Rosamedina,Daniel Ureta,0.1666666666666667,0.75,2
Jue,2025-04-17,20:00:00,Alianza Univ,0–0,Atlético Grau,Empate,Estadio Heraclio Tapia León,Kevin Ortega,0.0,0.0,0
Sáb,2025-04-19,13:00:00,Sport Boys,2–2,Cienciano,Empate,Estadio Miguel Grau del Callao,Jesús Cartagena,0.3333333333333333,0.5,0
Sáb,2025-04-19,15:30:00,Alianza Atlético,1–0,Sporting Cristal,Ganó Local,Estadio Campeones del 36,Micke Palomino,0.1666666666666667,0.0,1
Vie,2025-04-18,20:00:00,Alianza Lima,1–0,Cdc Santa Rosa,Ganó Local,Estadio Alejandro Villanueva,Augusto Menéndez,0.1666666666666667,0.0,1
Dom,2025-04-20,13:15:00,Utc,0–1,Adt Tarma,Ganó Visita,Estadio Municipal Germán Contreras Jara,Victor Cori,0.0,0.25,2
Dom,2025-04-20,15:30:00,Sport Huancayo,4–2,Comerciantes Unidos,Ganó Local,Estadio Huancayo,Robin Segura Tuanama,0.6666666666666666,0.5,1
Sáb,2025-04-19,19:00:00,Cusco,3–0,Ayacucho,Ganó Local,Estadio Inca Garcilaso de la Vega,Michael Espinoza,0.5,0.0,1
Sáb,2025-04-26,13:00:00,Ayacucho,0–2,Alianza Atlético,Ganó Visita,Estadio Manuel Eloy Molina Robles,Jasmani Chambi,0.0,0.5,2
Sáb,2025-04-26,18:30:00,Deportivo Garcilaso,0–1,Binacional,Ganó Visita,Estadio Inca Garcilaso de la Vega,Julio Quiróz,0.0,0.25,2
Dom,2025-04-27,13:15:00,Cdc Santa Rosa,1–1,Melgar,Empate,Estadio Los Chankas,Roberto Pérez,0.1666666666666667,0.25,0
Dom,,15:30:00,Atlético Grau,3–3,Sport Boys,Empate,Estadio Campeones del 36,Augusto Menéndez,0.5,0.75,0
Dom,2025-04-27,18:00:00,Universitario,6–0,Utc,Ganó Local,Estadio Monumental U Marathon,Sebastián Lozano,1.0,0.0,1
Lun,2025-04-28,13:00:00,Sporting Cristal,3–2,Juan Pablo Ii,Ganó Local,Estadio Alberto Gallardo,Michael Espinoza,0.5,0.5,1
Lun,2025-04-28,15:30:00,Adt Tarma,2–1,Cusco,Ganó Local,Estadio Municipal Unión de Tarma,Pablo López,0.3333333333333333,0.25,1
Lun,2025-04-28,19:30:00,Cienciano,2–1,Sport Huancayo,Ganó Local,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,0.3333333333333333,0.25,1
Vie,2025-05-02,15:30:00,Sport Huancayo,3–0,Atlético Grau,Ganó Local,Estadio Huancayo,Joel Alarcón,0.5,0.0,1
Jue,2025-05-01,19:30:00,Melgar,1–1,Comerciantes Unidos,Empate,Estadio de la Universidad Nacional San A...,Jordy Espinoza,0.1666666666666667,0.25,0
Sáb,2025-05-03,13:00:00,Utc,2–1,Deportivo Garcilaso,Ganó Local,Estadio Municipal Germán Contreras Jara,Kevin Ortega,0.3333333333333333,0.25,1
Sáb,2025-05-03,15:30:00,Juan Pablo Ii,0–0,Ayacucho,Empate,Estadio de la Juventud,Daniel Ureta,0.0,0.0,0
Sáb,2025-05-03,18:30:00,Cusco,2–0,Universitario,Ganó Local,Estadio Inca Garcilaso de la Vega,Edwin Ordóñez,0.3333333333333333,0.0,1
Vie,2025-05-02,19:30:00,Alianza Lima,0–1,Cienciano,Ganó Visita,Estadio Alejandro Villanueva,Roberto Pérez,0.0,0.25,2
